Governor,,,,,,,,,,,,,,,,,
,,BRIAN KEMP  (REP),,,,,STACEY ABRAMS  (DEM),,,,,TED METZ (LIB),,,,,
County,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Total
Mitchell,13324,2122,156,1903,6,4187,1402,404,1436,3,3245,15,4,4,0,23,7455
Monroe,18724,4516,298,4486,8,9308,1350,390,1774,2,3516,59,4,51,0,114,12938
Montgomery,5145,1485,112,1088,0,2685,401,97,322,0,820,15,0,6,0,21,3526
Morgan,13100,2747,173,3885,2,6807,955,231,1487,2,2675,36,6,34,0,76,9558
Murray,19170,4870,168,4474,0,9512,786,91,612,0,1489,59,6,25,0,90,11091
Muscogee,112540,13776,1162,9363,0,24301,16880,3139,18232,0,38251,330,24,105,0,459,63011
Newton,69805,10760,742,7942,5,19449,10195,1975,11235,7,23412,203,18,59,0,280,43141
Oconee,27538,5802,517,8156,5,14480,2145,408,3456,6,6015,167,6,76,0,249,20744
Oglethorpe,9473,1790,293,2484,1,4568,820,104,919,0,1843,48,8,14,0,70,6481
Paulding,98948,16656,1848,22219,0,40723,8088,1378,10425,0,19891,329,31,198,0,558,61172
Peach,16632,1620,143,3644,25,5432,1542,302,3057,65,4966,28,0,19,0,47,10445
Pickens,21151,5090,164,6072,0,11326,840,50,1009,0,1899,89,1,40,0,130,13355
Pierce,10855,1664,257,4202,0,6123,286,70,381,1,738,8,0,15,0,23,6884
Pike,12212,3244,201,3870,0,7315,476,99,587,0,1162,32,4,21,0,57,8534
Polk,20970,3651,271,6254,1,10177,968,167,1452,1,2588,49,9,38,0,96,12861
Pulaski,5293,495,122,1910,0,2527,368,108,603,0,1079,5,2,9,0,16,3622
Putnam,13578,2785,334,3572,7,6698,1049,242,1266,7,2564,31,1,20,0,52,9314
Quitman,1519,217,31,274,0,522,210,29,171,0,410,2,0,6,0,8,940
Rabun,11513,1489,626,3948,0,6063,321,209,898,0,1428,36,8,43,0,87,7578
Randolph,4154,595,43,618,1,1257,645,264,609,0,1518,3,6,5,0,14,2789
Richmond,122747,13178,1174,7706,17,22075,22450,4074,20913,90,47527,364,66,118,0,548,70150
Rockdale,58299,3998,448,7247,10,11703,7827,1399,15454,45,24725,133,6,88,0,227,36655
Schley,2645,395,43,1125,2,1565,110,53,190,0,353,9,0,6,0,15,1933
Screven,8594,1406,94,1763,5,3268,1047,177,905,2,2131,9,0,6,0,15,5414
Seminole,5341,1279,89,775,6,2149,579,175,300,7,1061,14,0,3,0,17,3227
Spalding,41325,6196,523,8208,10,14937,3734,740,4763,21,9258,126,20,75,1,222,24417
Stephens,17058,1814,356,5137,0,7307,543,162,977,0,1682,37,7,25,0,69,9058
Stewart,2917,329,69,347,0,745,524,164,346,0,1034,4,0,1,0,5,1784
Sumter,16395,2272,208,2667,0,5147,1845,657,2849,0,5351,31,1,15,0,47,10545
Talbot,4334,765,47,354,1,1167,1114,237,413,1,1765,16,1,5,0,22,2954
Taliaferro,1211,133,31,185,1,350,181,131,253,3,568,0,0,3,0,3,921
Tattnall,11036,2025,246,2797,0,5068,665,142,727,0,1534,18,3,15,0,36,6638
Taylor,5068,577,101,1377,14,2069,592,142,457,14,1205,10,0,9,1,20,3294
Telfair,5525,1063,114,1247,1,2425,554,214,422,0,1190,7,2,7,0,16,3631
Terrell,6366,928,95,774,0,1797,1056,231,832,1,2120,7,1,6,0,14,3931
Thomas,27686,4966,368,5220,3,10557,2859,617,3126,0,6602,49,6,30,0,85,17244
Tift,22064,3521,274,5724,2,9521,1897,275,1891,2,4065,44,5,31,0,80,13666
Toombs,15700,2351,323,3943,5,6622,935,355,906,4,2200,24,1,11,0,36,8858
Towns,9386,1506,199,3304,0,5009,307,85,673,0,1065,26,0,32,0,58,6132
Treutlen,4025,552,75,1173,0,1800,250,70,482,4,806,3,1,4,0,8,2614
Troup,38876,6709,557,7139,125,14530,4355,702,4041,118,9216,109,5,46,2,162,23908
Turner,5126,629,52,1378,3,2062,563,95,540,2,1200,7,1,4,0,12,3274
Twiggs,5849,1177,68,751,0,1996,790,207,777,0,1774,14,0,3,0,17,3787
Union,17800,4081,337,5479,2,9899,618,137,1097,0,1852,56,8,50,0,114,11865
Upson,15930,2036,245,4776,6,7063,1164,350,1925,4,3443,27,7,28,0,62,10568
Walker,38613,7585,560,9224,31,17400,1758,247,1826,7,3838,162,6,83,1,252,21490
Walton,61655,17480,1081,11143,0,29704,4816,672,3170,0,8658,200,8,57,0,265,38627
Ware,18506,3730,329,3827,8,7894,1150,297,1616,4,3067,37,1,17,0,55,11016
Warren,3519,302,65,686,0,1053,500,122,577,1,1200,4,0,4,0,8,2261
Washington,11988,1659,232,2233,4,4128,1850,491,1665,6,4012,16,4,9,0,29,8169
Wayne,15675,2977,338,4799,6,8120,745,160,1033,2,1940,31,3,36,1,71,10131
Webster,1493,184,71,404,0,659,220,80,140,0,440,0,1,0,0,1,1100
Wheeler,2751,569,66,734,3,1372,267,49,238,1,555,2,0,2,0,4,1931
White,18137,4719,421,4522,5,9667,690,111,846,0,1647,80,5,40,0,125,11439
Whitfield,46058,12045,605,7094,14,19758,4444,401,2467,11,7323,186,11,49,0,246,27327
Wilcox,4237,990,149,925,0,2064,415,55,275,0,745,3,1,2,0,6,2815
Wilkes,6345,1132,90,1356,0,2578,849,208,710,6,1773,14,2,9,0,25,4376
Wilkinson,6016,1526,76,770,0,2372,888,193,795,0,1876,13,0,2,0,15,4263
Worth,12645,3449,145,2310,11,5915,943,158,789,4,1894,26,2,9,0,37,7846
Total:,6428581,941079,83544,950026,2052,1976701,847220,136610,930131,4922,1918883,24694,2039,10381,60,37174,3932758
